MSO Name,partnerId,HeadendId,Linux
RCN,tivo:pt.3640,48133,N
RCN,tivo:pt.3640,48006,N
RCN,tivo:pt.3640,44087,N
RCN,tivo:pt.3640,48050,N
RCN,tivo:pt.3640,48107,N
RCN,tivo:pt.3640,44090,N
RCN,tivo:pt.3640,48003_STB,N
RCN,tivo:pt.3640,Carson_wa,N
RCN,tivo:pt.3640,23099_STB,N
RCN,tivo:pt.3640,64002_STB,N
RCN,tivo:pt.3640,99111,N
RCN,tivo:pt.3640,48208,N
RCN,tivo:pt.3640,24010,N
RCN,tivo:pt.3640,48173,N
RCN,tivo:pt.3640,09_0,Y
RCN,tivo:pt.3640,48600,N
RCN,tivo:pt.3640,West_Sacramento_ca,N
RCN,tivo:pt.3640,48009_STB,N
RCN,tivo:pt.3640,44084_STB,N
RCN,tivo:pt.3640,48002_STB,N
RCN,tivo:pt.3640,Duvall_wa,N
RCN,tivo:pt.3640,48001,N
RCN,tivo:pt.3640,48173_STB,N
RCN,tivo:pt.3640,99000,N
RCN,tivo:pt.3640,13333,N
RCN,tivo:pt.3640,81501_STB,N
RCN,tivo:pt.3640,Rocklin_ca,N
RCN,tivo:pt.3640,48012,N
RCN,tivo:pt.3640,48165,N
RCN,tivo:pt.3640,61003_STB,N
RCN,tivo:pt.3640,23004,N
RCN,tivo:pt.3640,48060_STB,N
RCN,tivo:pt.3640,mdldtx,Y
RCN,tivo:pt.3640,24013,N
RCN,tivo:pt.3640,44084,N
RCN,tivo:pt.3640,48003,N
RCN,tivo:pt.3640,23010,N
RCN,tivo:pt.3640,48610_STB,N
RCN,tivo:pt.3640,Sheridan_or,N
RCN,tivo:pt.3640,48030_STB,N
RCN,tivo:pt.3640,colescrossing,N
RCN,tivo:pt.3640,49179,N
RCN,tivo:pt.3640,79001,N
RCN,tivo:pt.3640,48030,N
RCN,tivo:pt.3640,48200_STB,N
RCN,tivo:pt.3640,44086,N
RCN,tivo:pt.3640,48203,N
RCN,tivo:pt.3640,23006,N
RCN,tivo:pt.3640,24961_STB,N
RCN,tivo:pt.3640,48097_STB,N
RCN,tivo:pt.3640,81502,N
RCN,tivo:pt.3640,14_0,Y
RCN,tivo:pt.3640,wacotx,Y
RCN,tivo:pt.3640,dllstx,Y
RCN,tivo:pt.3640,48133_STB,N
